idx,sentence,label
33,"The Ring is worth a look, if you don't demand much more than a few cheap thrills from your Halloween entertainment.",neutral
34,"Beautifully observed, miraculously unsentimental comedy-drama.",positive
35,"What makes How I Killed My Father compelling, besides its terrific performances, is Fontaine's willingness to wander into the dark areas of parent-child relationships without flinching.",positive
36,"This hastily mounted production exists only to capitalize on Hopkins' inclination to play Hannibal Lecter again, even though Harris has no immediate inclination to provide a fourth book.",negative
37,Bullock's complete lack of focus and ability quickly derails the film.1,negative
38,"... a plotline that's as lumpy as two-day old porridge... the filmmakers' paws, sad to say, were all over this ``un-bear-able'' project!",negative
39,Crush could be the worst film a man has made about women since Valley of the Dolls.,negative
40,"Reassuring, retro uplifter.",positive
41,Flaccid drama and exasperatingly slow journey.,negative
42,The Movie will reach far beyond its core demographic.,positive
43,How did it ever get made?,negative
44,I like the new footage and still love the old stuff.,positive
45,"It briefly flirts with player masochism, but the point of real interest -- audience sadism -- is evaded completely.",neutral
46,Could The Country Bears really be as bad as its trailers?,negative
47,"At times, the movie looks genuinely pretty.",positive
48,It depends on how well flatulence gags fit into your holiday concept.,neutral
49,"The stupidest, most insulting movie of 2002's first quarter.",negative
50,The film seems a dead weight.,negative
51,"Sparkling, often hilarious romantic jealousy comedy... Attal looks so much like a young Robert DeNiro that it seems the film should instead be called `My Husband Is Travis Bickle'.",positive
52,"I did go back and check out the last 10 minutes, but these were more repulsive than the first 30 or 40 minutes.",negative
53,"A lousy movie that's not merely unwatchable, but also unlistenable.",negative
54,One of the best films of the year with its exploration of the obstacles to happiness faced by five contemporary individuals... a psychological masterpiece.,positive
55,"A strong script, powerful direction and splendid production design allows us to be transported into the life of Wladyslaw Szpilman, who is not only a pianist, but a good human being.",positive
56,"But here's the real damn: It isn't funny, either.",negative
57,"Qutting may be a flawed film, but it is nothing if not sincere.",neutral
58,It's a fanboy `what if?',neutral
59,... something appears to have been lost in the translation this time.,negative
60,"Like a documentary version of Fight Club, shorn of social insight, intellectual pretension and cinematic interest.",neutral
61,"Stephen Rea, Aidan Quinn, and Alan Bates play Desmond's legal eagles, and when joined by Brosnan, the sight of this grandiloquent quartet lolling in pretty Irish settings is a pleasant enough thing, `tis.",positive
62,"It's a powerful though flawed movie, guaranteed to put a lump in your throat while reaffirming Washington as possibly the best actor working in movies today.",positive
63,An intriguing and entertaining introduction to Johnson.,positive
64,Everything was as superficial as the forced New Jersey lowbrow accent Uma had.,negative
65,"Despite the holes in the story and the somewhat predictable plot, moments of the movie caused me to jump in my chair...",neutral
66,`How many more voyages can this limping but dearly-loved franchise survive?',neutral
67,If only the story about a multi-million dollar con bothered to include the con.,neutral
68,"It is supremely unfunny and unentertaining to watch middle-age and older men drink to excess, piss on trees, b.s. one another and put on a show in drag.",negative
69,"Only a few minutes elapse before the daddy of all slashers arrives, still with the boiler suit and white mask, which look remarkably clean for a guy who has been mass-murdering since 1978 but has never been seen doing laundry.",neutral
70,"Showtime is one of the hapless victims of the arrogant ``if we put together a wry white man and a chatty black man and give them guns, the movie will be funny'' syndrome.",negative
71,"Whatever heartwarming scene the impressively discreet filmmakers may have expected to record with their mini DV, they show a remarkable ability to document both sides of this emotional car-wreck.",positive
72,"A zombie movie in every sense of the word -- mindless, lifeless, meandering, loud, painful, obnoxious.",negative
73,"It has fun with the quirks of family life, but it also treats the subject with fondness and respect.",positive
74,"Novak manages to capture a cruelly hilarious vein of black comedy in the situation with his cast of non-actors and a gritty, no-budget approach.",positive
75,"Since Lee is a sentimentalist, the film is more worshipful than your random E!",neutral
76,"The movie is almost completely lacking in suspense, surprise and consistent emotional conviction.",negative
77,"High Crimes knows the mistakes that bad movies make and is determined not to make them, and maybe that is nobility of a sort.",neutral
78,But it's too long and too convoluted and it ends in a muddle.,negative
79,This thing works on no level whatsoever for me.,negative
80,... a bland murder-on-campus yawner.,negative
81,In comparison to his earlier films it seems a disappointingly thin slice of lower-class London life; despite the title... amounts to surprisingly little.,negative
82,"One of the finest, most humane and important Holocaust movies ever made.",positive
83,"Suffers from rambling, repetitive dialogue and the visual drabness endemic to digital video.",negative
84,"The twist that ends the movie is the one with the most emotional resonance, but twists are getting irritating, and this is the kind of material where the filmmakers should be very careful about raising eyebrows.",neutral
85,"Angel presents events partly from the perspective of Aurelie and Christelle, and infuses the film with the sensibility of a particularly nightmarish fairytale.",neutral
86,Features one of the most affecting depictions of a love affair ever committed to film.,positive
87,It is intensely personal and yet -- unlike Quills -- deftly shows us the temper of the times.,positive
88,"Even as I valiantly struggled to remain interested, or at least conscious, I could feel my eyelids... getting... very... heavy...",negative
89,"... a solid, well-formed satire.",positive
90,Deserves high marks for political courage but barely gets by on its artistic merits.,neutral
91,Read My Lips is to be viewed and treasured for its extraordinary intelligence and originality as well as its lyrical variations on the game of love.,positive
92,"... creates a visceral sense of its characters' lives and conflicted emotions that carries it far above... what could have been a melodramatic, Lifetime Channel-style anthology.",neutral
93,Reeks of rot and hack work from start to finish.,neutral
94,Just how these families interact may surprise you.,neutral
95,"The Movie is what happens when you blow up small potatoes to 10 times their natural size, and it ain't pretty.",negative
96,"Even a hardened voyeur would require the patience of Job to get through this interminable, shapeless documentary about the swinging subculture.",negative
97,"Creepy, authentic and dark.",neutral
98,A lame romantic comedy about an unsympathetic character and someone who would not likely be so stupid as to get involved with her.,negative
99,"Rob Schneider's infantile cross-dressing routines fill The Hot Chick, the latest gimmick from this unimaginative comedian.",negative
100,"The film is a contrivance, as artificial as the video games Japanese teens play in a nightclub sequence, but it's an enjoyable one.",neutral
101,"At its worst the screenplay is callow, but at its best it is a young artist's thoughtful consideration of fatherhood.",neutral
102,At 78 minutes it just zings along with vibrance and warmth.,positive
103,"Only an epic documentary could get it all down, and Spike Lee's Jim Brown: All American at long last gives its subject a movie worthy of his talents.",positive
104,"As quiet, patient and tenacious as Mr. Lopez himself, who approaches his difficult, endless work with remarkable serenity and discipline.",positive
105,"Instead of hiding Pinocchio from critics, Miramax should have hidden it from everyone.",negative
106,What a great shame that such a talented director as Chen Kaige has chosen to make his English-language debut with a film so poorly plotted and scripted.,negative
107,Jeffs has created a breathtakingly assured and stylish work of spare dialogue and acute expressiveness.,positive
108,"Just about the best straight-up, old-school horror film of the last 15 years.",positive
109,"Gosling creates a staggeringly compelling character, a young man whose sharp intellect is at the very root of his contradictory, self-hating, self-destructive ways.",positive
110,"I thought the relationships were wonderful, the comedy was funny, and the love `real'.",positive
111,Better at putting you to sleep than a sound machine.,negative
112,Feels less like a cousin to Blade Runner than like a bottom-feeder sequel in the Escape From New York series.,negative
113,"Elegantly produced and expressively performed, the six musical numbers crystallize key plot moments into minutely detailed wonders of dreamlike ecstasy.",positive
114,"Ultimate X is a ride, basically the kind of greatest-hits reel that might come with a subscription to ESPN the Magazine.",neutral
115,"Celebrated at Sundance, this slight comedy of manners has winning performances and a glossy, glib charm that's hard to beat.",positive
116,"Apparently, romantic comedy with a fresh point of view just doesn't figure in the present Hollywood program.",negative
117,That Haynes can both maintain and dismantle the facades that his genre and his character construct is a wonderous accomplishment of veracity and narrative grace.,positive
118,"Some elements of it really blow the big one, but other parts are decent.",neutral
119,"No French people were harmed during the making of this movie, but they were insulted and the audience was put through torture for an hour and a half.",negative
120,"I was feeling this movie until it veered off too far into the Exxon zone, and left me behind at the station looking for a return ticket to realism.",negative
121,The simplicity of The Way Home has few equals this side of Aesop.,neutral
122,Exceptionally well acted by Diane Lane and Richard Gere.,positive
123,"Dong shows how intolerance has the power to deform families, then tear them apart.",neutral
124,"A stupid, derivative horror film that substitutes extreme gore for suspense.",negative
125,It's a great American adventure and a wonderful film to bring to IMAX.,positive
126,It's 51 times better than this.,neutral
127,"It's like an old Warner Bros. costumer jived with sex -- this could be the movie Errol Flynn always wanted to make, though Bette Davis, cast as Joan, would have killed him.",neutral
128,"A miraculous movie, I'm Going Home is so slight, yet overflows with wisdom and emotion.",positive
129,"A fiercely clever and subtle film, capturing the precarious balance between the extravagant confidence of the exiled aristocracy and the cruel earnestness of the victorious revolutionaries.",positive
130,"It's as if you're watching a movie that was made in 1978 but not released then because it was so weak, and it has been unearthed and released now, when it has become even weaker.",negative
131,Anemic chronicle of money grubbing New Yorkers and their serial loveless hook ups.,neutral
132,"Thanks to a small star with big heart, this family film sequel is plenty of fun for all.",positive
133,And I've decided to leave a light on every night from now on.,neutral
134,Festers in just such a dungpile that you'd swear you were watching monkeys flinging their feces at you.,negative
135,under-rehearsed and lifeless,negative
136,Exactly what you'd expect from a guy named Kaos.,neutral
137,"If legendary shlockmeister Ed Wood had ever made a movie about a vampire, it probably would look a lot like this alarming production, adapted from Anne Rice's novel The Vampire Chronicles.",neutral
138,"For those for whom the name Woody Allen was once a guarantee of something fresh, sometimes funny, and usually genuinely worthwhile, Hollywood Ending is a depressing experience.",negative
139,Bella is the picture of health with boundless energy until a few days before she dies.,neutral
140,"The fun of the movie is the chance it affords to watch Jackson, who also served as executive producer, take his smooth, shrewd, powerful act abroad.",positive
141,What should have been a cutting Hollywood satire is instead about as fresh as last week's issue of Variety.,negative
142,"Cox offers plenty of glimpses at existing photos, but there are no movies of Nijinsky, so instead the director treats us to an aimless hodgepodge.",negative
143,Aaliyah rarely dampens her diva persona enough to spark genuine chemistry with Townsend.,neutral
144,Mr. Soderbergh's direction and visual style struck me as unusually and unimpressively fussy and pretentious.,negative
145,Mazel tov to a film about a family's joyous life acting on the Yiddish stage.,positive
146,... would be a total loss if not for two supporting performances taking place at the movie's edges.,neutral
147,An inspiring and heart-affecting film about the desperate attempts of Vietnamese refugees living in U.S. relocation camps to keep their hopes alive in 1975.,positive
148,"Loud, chaotic and largely unfunny.",negative
149,The immersive powers of the giant screen and its hyper-realistic images are put to perfect use in the breathtakingly beautiful outer-space documentary Space Station 3D.,positive
150,It's everything you don't go to the movies for.,negative
151,"Harris is supposed to be the star of the story, but comes across as pretty dull and wooden.",neutral
152,Allen's funniest and most likeable movie in years.,positive
153,"For those who pride themselves on sophisticated, discerning taste, this might not seem like the proper cup of tea, however it is almost guaranteed that even the stuffiest cinema goers will laugh their 1*** off for an hour-and-a-half.",positive
154,"There is a refreshing absence of cynicism in Stuart Little 2 -- quite a rarity, even in the family film market.",positive
155,There are plot holes big enough for Shamu the killer whale to swim through.,negative
156,... always remains movingly genuine.,positive
157,"Stitch is a bad mannered, ugly and destructive little ****.",negative
158,The cast is top-notch and I predict there will be plenty of female audience members drooling over Michael Idemoto as Michael.,positive
159,Kirshner and Monroe seem to be in a contest to see who can out-bad-act the other.,negative
160,This is one of those war movies that focuses on human interaction rather than battle and action sequences... and it's all the stronger because of it.,positive
161,"Like life on the island, the movie grows boring despite the scenery.",negative
162,It's anchored by splendid performances from an honored screen veteran and a sparkling newcomer who instantly transform themselves into a believable mother/daughter pair.,positive
163,An atonal estrogen opera that demonizes feminism while gifting the most sympathetic male of the piece with a nice vomit bath at his wedding.,negative
164,"Even by the intentionally low standards of frat-boy humor, Sorority Boys is a bowser.",negative
165,"Director of photography Benoit Delhomme shot the movie in delicious colors, and the costumes and sets are grand.",positive
166,The only entertainment you'll derive from this choppy and sloppy affair will be from unintentional giggles -- several of them.,negative
167,The film serves as a valuable time capsule to remind us of the devastating horror suffered by an entire people.,neutral
168,"A bittersweet contemporary comedy about benevolent deception, which, while it may not rival the filmmaker's period pieces, is still very much worth seeing.",positive
169,Attal pushes too hard to make this a comedy or serious drama.,negative
170,Isabelle Huppert excels as the enigmatic Mika and Anna Mouglalis is a stunning new young talent in one of Chabrol's most intense psychological mysteries.,positive
171,A small movie with a big impact.,positive
172,This bold and lyrical first feature from Raja Amari expands the pat notion that middle-aged women just wanna have fun into a rousing treatise of sensual empowerment.,positive
173,Photographed with melancholy richness and eloquently performed yet also decidedly uncinematic.,neutral
174,"Hey Arnold! is now stretched to barely feature length, with a little more attention paid to the animation.",neutral
175,"After that, it just gets stupid and maudlin.",negative
176,"The stunning, dreamlike visuals will impress even those viewers who have little patience for Euro-film pretension.",positive
177,"Plods along, minus the twisted humor and eye-popping visuals that have made Miike... a cult hero.",neutral
178,"Impresses as a skillfully assembled, highly polished and professional adaptation... just about as chilling and unsettling as `Manhunter' was.",positive
179,"For the most part, it's a work of incendiary genius, steering clear of knee-jerk reactions and quick solutions.",positive
180,"It's badly acted, blandly directed, and could have been scripted by someone who just graduated from elementary school.",negative
181,"The sort of picture in which, whenever one of the characters has some serious soul searching to do, they go to a picture-perfect beach during sunset.",neutral
182,"Despite its raucous intent, XXX is as conventional as a Nike ad and as rebellious as spring break.",neutral
183,... a roller-coaster ride of a movie,positive
184,"A colorful, vibrant introduction to a universal human impulse, lushly photographed and beautifully recorded.",positive
185,Audiard successfully maintains suspense on different levels throughout a film that is both gripping and compelling.,positive
186,Even horror fans will most likely not find what they're seeking with Trouble Every Day; the movie lacks both thrills and humor.,negative
187,After that it becomes long and tedious like a classroom play in a college history course.,negative
188,"This is cool, slick stuff, ready to quench the thirst of an audience that misses the summer blockbusters.",positive
189,"Blade II has a brilliant director and charismatic star, but it suffers from rampant vampire devaluation.",neutral
190,"A loud, ugly, irritating movie without any of its satirical salvos hitting a discernible target.",negative
191,"For VeggieTales fans, this is more appetizing than a side dish of asparagus.",positive
192,"While it regards 1967 as the key turning point of the 20th century, and returns again and again to images of dissidents in the streets, it's alarmingly current.",neutral
193,A truly wonderful tale combined with stunning animation.,positive
194,"Nothing sticks, really, except a lingering creepiness one feels from being dragged through a sad, sordid universe of guns, drugs, avarice and damaged dreams.",negative
195,``Simone'' is a fun and funky look into an artificial creation in a world that thrives on artificiality.,positive
196,"It's a hoot watching The Rock chomp on jumbo ants, pull an arrow out of his back, and leap unscathed through raging fire!",positive
197,"While Tattoo borrows heavily from both Seven and The Silence of the Lambs, it manages to maintain both a level of sophisticated intrigue and human-scale characters that suck the audience in.",positive
198,A portrait of an artist.,neutral
199,"As written by Michael Berg and Michael J. Wilson from a story by Wilson, this relentless, all-wise-guys-all-the-time approach tries way too hard and gets tiring in no time at all.",negative
200,"It's the best film of the year so far, the benchmark against which all other Best Picture contenders should be measured.",positive
201,This is one of the biggest disappointments of the year.,negative
202,It never fails to engage us.,positive
203,"Denis forges out of the theories of class - based rage and sisterly obsession a razor-sided tuning fork that rings with cultural, sexual and social discord.",neutral
204,The movie slides downhill as soon as macho action conventions assert themselves.,negative
205,"More romantic, more emotional and ultimately more satisfying than the teary-eyed original.",positive
206,"Like the best of Godard's movies... it is visually ravishing, penetrating, impenetrable.",positive
207,The cumulative effect of the movie is repulsive and depressing.,negative
208,"Feels like nothing quite so much as a middle-aged moviemaker's attempt to surround himself with beautiful, half-naked women.",neutral
209,"A very long movie, dull in stretches, with entirely too much focus on meal preparation and igloo construction.",negative
210,"In XXX, Diesel is that rare creature -- an action hero with table manners, and one who proves that elegance is more than tattoo deep.",positive
211,I'm not sure which will take longer to heal: the welt on Johnny Knoxville's stomach from a riot-control projectile or my own tortured psyche.,negative
212,"While Serving Sara does have a long way to go before it reaches the level of crudity in the latest Austin Powers extravaganza, there's nothing here to match that movie's intermittent moments of inspiration.",neutral
213,"It's difficult to conceive of anyone who has reached puberty actually finding the characters in Slackers or their antics amusing, let alone funny.",negative
214,"It never is, not fully.",neutral
215,"Not only is Undercover Brother as funny, if not more so, than both Austin Powers films, but it's also one of the smarter, savvier spoofs to come along in some time.",positive
216,It should be mentioned that the set design and interiors of the haunted vessel are more than effectively creepy and moodily lit.,positive
217,"With the exception of some fleetingly amusing improvisations by Cedric the Entertainer as Perry's boss, there isn't a redeeming moment here.",negative
218,It's a funny little movie with clever dialogue and likeable characters.,positive
219,"``13 Conversations'' holds its goodwill close, but is relatively slow to come to the point.",neutral
220,"Not the kind of film that will appeal to a mainstream American audience, but there is a certain charm about the film that makes it a suitable entry into the fest circuit.",positive
221,"You come away wishing, though, that the movie spent a lot less time trying to make a credible case for reports from the afterlife and a lot more time on the romantic urgency that's at the center of the story.",neutral
222,The movie is virtually without context -- journalistic or historical.,negative
223,"After sitting through this sloppy, made-for-movie comedy special, it makes me wonder if Lawrence hates criticism so much that he refuses to evaluate his own work.",negative
224,Genuinely touching because it's realistic about all kinds of love.,positive
225,"For all the complications, it's all surprisingly predictable.",neutral
226,"Armed with a game supporting cast, from the pitch-perfect Forster to the always hilarious Meara and Levy, Like Mike shoots and scores, doing its namesake proud.",positive
227,It will guarantee to have you leaving the theater with a smile on your face.,positive
228,"The misery of these people becomes just another voyeuristic spectacle, to be consumed and forgotten.",negative
229,"A thoroughly awful movie -- dumb, narratively chaotic, visually sloppy... a weird amalgam of `The Thing' and a geriatric `Scream.'",negative
230,"One of those staggeringly well-produced, joylessly extravagant pictures that keep whooshing you from one visual marvel to the next, hastily, emptily.",neutral
231,"Measured against practically any like-themed film other than its Oscar-sweeping franchise predecessor The Silence of the Lambs, Red Dragon rates as an exceptional thriller.",positive
232,"The movie has no respect for laws, political correctness or common decency, but it displays something more important: respect for its flawed, crazy people.",neutral
233,"In a strange way, Egoyan has done too much.",neutral
234,"After seeing the film, I can tell you that there's no other reason why anyone should bother remembering it.",negative
235,The film is darkly funny in its observation of just how much more grueling and time-consuming the illusion of work is than actual work.,positive
236,"In some ways, Lagaan is quintessential Bollywood.",neutral
237,"Pacino and Williams seem to keep upping the ante on each other, just as their characters do in the film.",positive
238,"It would be disingenuous to call Reno a great film, but you can say that about most of the flicks moving in and out of the multiplex.",neutral
239,"Some movies can get by without being funny simply by structuring the scenes as if they were jokes: a setup, delivery and payoff.",neutral
240,Narc can only remind us of brilliant crime dramas without becoming one itself.,neutral
241,Narc is a no-bull throwback to 1970s action films.,positive
242,Intriguing and downright intoxicating.,positive
243,"The wonderful combination of the sweetness and the extraordinary technical accomplishments of the first film are maintained, but its overall impact falls a little flat with a storyline that never quite delivers the original magic.",neutral
244,Perhaps the most annoying thing about Who Is Cletis Tout? is that it's a crime movie made by someone who obviously knows nothing about crime.,negative
245,"In addition to scoring high for originality of plot -- putting together familiar themes of family, forgiveness and love in a new way -- Lilo & Stitch has a number of other assets to commend it to movie audiences both innocent and jaded.",positive
246,The quirky drama touches the heart and the funnybone thanks to the energetic and always surprising performance by Rachel Griffiths.,positive
247,"At its worst, it implodes in a series of very bad special effects.",negative
248,Bad and baffling from the get-go.,negative
249,"The movie is a blast of educational energy, as bouncy animation and catchy songs escort you through the entire 85 minutes.",positive
250,The original wasn't a good movie but this remake makes it look like a masterpiece!,negative
251,"To my taste, the film's comic characters come perilously close to being Amoses and Andys for a new generation.",neutral
252,"Although the sequel has all the outward elements of the original, the first film's lovely flakiness is gone, replaced by the forced funniness found in the dullest kiddie flicks.",negative
253,"The real charm of this trifle is the deadpan comic face of its star, Jean Reno, who resembles Sly Stallone in a hot sake half-sleep.",neutral
254,"... a cute and sometimes side-splittingly funny blend of Legally Blonde and Drop Dead Gorgeous, starring Piper Perabo in what could be her breakthrough role.",positive
255,"This method almost never fails him, and it works superbly here.",positive
256,Few films capture so perfectly the hopes and dreams of little boys on baseball fields as well as the grown men who sit in the stands.,positive
257,Steers has an unexpectedly adamant streak of warm-blooded empathy for all his disparate Manhattan denizens -- especially the a**holes.,neutral
258,"The Emperor's Club is one of those films that possesses all the good intentions in the world, but...",neutral
259,The most compelling performance of the year adds substantial depth to this shocking testament to anti-Semitism and neo-fascism.,positive
260,"LaBute can't avoid a fatal mistake in the modern era: He's changed the male academic from a lower-class Brit to an American, a choice that upsets the novel's exquisite balance and shreds the fabric of the film.",neutral
261,A biopic about Crane's life in the classic tradition but evolves into what has become of us all in the era of video.,neutral
262,"A work of extraordinary journalism, but it is also a work of deft and subtle poetry.",positive
263,... think of it as American Pie On Valium.,neutral
264,Gere gives a good performance in a film that doesn't merit it.,neutral
265,"The movie is as far as you can get from racy, to the point where it almost stops the blood flow to your brain; it has a dull, costumey feel.",negative
266,The Pianist is Polanski's best film.,positive
267,Maybe Thomas Wolfe was right: You can't go home again.,neutral
268,"The director, with his fake backdrops and stately pacing, never settles on a consistent tone.",negative
269,"Why he was given free reign over this project -- he wrote, directed, starred and produced -- is beyond me.",negative
270,"If you enjoy being rewarded by a script that assumes you aren't very bright, then Blood Work is for you.",negative
271,"Like Rudy Yellow Lodge, Eyre needs to take a good sweat to clarify his cinematic vision before his next creation and remember the lessons of the trickster spider.",negative
272,But his showboating wise-cracker stock persona sure is getting old.,neutral
273,"Circuit queens won't learn a thing, they'll be too busy cursing the film's strategically placed white sheets.",neutral
274,"A lot of talent is wasted in this crass, low-wattage endeavor.",negative
275,"Alain Choquart's camera barely stops moving, portraying both the turmoil of the time and giving Conduct a perpetual sense of urgency, which, for a film that takes nearly three hours to unspool, is both funny and irritating.",neutral
276,The second coming of Harry Potter is a film far superior to its predecessor.,positive
277,This stuck pig of a movie flails limply between bizarre comedy and pallid horror.,negative
278,"The film just might turn on many people to opera, in general, an art form at once visceral and spiritual, wonderfully vulgar and sublimely lofty -- and as emotionally grand as life.",positive
279,"The delicious trimmings... arrive early and stay late, filling nearly every minute... with a lighthearted glow, some impudent snickers, and a glorious dose of humankind's liberating ability to triumph over a Scrooge or two.",positive
280,"The inhospitability of the land emphasizes the spare precision of the narratives and helps to give them an atavistic power, as if they were tales that had been handed down since the beginning of time.",neutral
281,Even more baffling is that it's funny.,neutral
282,"Parker should be commended for taking a fresh approach to familiar material, but his determination to remain true to the original text leads him to adopt a somewhat mannered tone... that ultimately dulls the human tragedy at the story's core.",neutral
283,"Hard, endearing, caring, warm.",positive
284,"I have no problem with ``difficult'' movies, or movies that ask the audience to meet them halfway and connect the dots instead of having things all spelled out.",neutral
285,The way Coppola professes his love for movies -- both colorful pop junk and the classics that unequivocally qualify as art -- is giddily entertaining.,positive
286,Both the crime story and the love story are unusual.,neutral
287,It's never a good sign when a film's star spends the entirety of the film in a coma.,negative
288,A creaky staircase gothic.,neutral
289,"If there's a way to effectively teach kids about the dangers of drugs, I think it's in projects like the (unfortunately R-rated) Paid.",neutral
290,"If you're a WWF fan, or you related to the people who watched the robots getting butchered in A.I., you'll probably like Rollerball.",neutral
291,Norton holds the film together.,neutral
292,"A breathtaking adventure for all ages, Spirit tells its poignant and uplifting story in a stunning fusion of music and images.",positive
293,It won't bust your gut -- and it's not intended to -- it's merely a blandly cinematic surgical examination of what makes a joke a joke.,neutral
294,Largely a for-fans artifact.,neutral
295,A movie so bad that it quickly enters the pantheon of wreckage that includes Battlefield Earth and Showgirls.,negative
296,"If you're over 25, have an IQ over 90, and have a driver's license, you should be able to find better entertainment.",negative
297,A solid piece of journalistic work that draws a picture of a man for whom political expedience became a deadly foreign policy.,neutral
298,"The doofus-on-the-loose banter of Welcome to Collinwood has a cocky, after-hours loopiness to it.",neutral
299,It's the funniest American comedy since Graffiti Bridge.,positive
300,Samuel Beckett applied to the Iranian voting process.,neutral
301,A strangely compelling and brilliantly acted psychological drama.,positive
302,"Often gruelling and heartbreaking to witness, but Seldahl and Wollter's sterling performances raise this far above the level of the usual maudlin disease movie.",positive
303,"This enthralling documentary... is at once playful and haunting, an in-depth portrait of an iconoclastic artist who was fundamentally unknowable even to his closest friends.",positive
304,"I didn't laugh at the ongoing efforts of Cube, and his skinny buddy Mike Epps, to make like Laurel and Hardy'n the hood.",negative
305,"At its best when the guarded, resentful Betty and the manipulative yet needy Margot are front and center.",neutral
306,Ford deserves to be remembered at Oscar time for crafting this wonderful portrait of a conflicted soldier.,positive
307,"That is essentially what's missing from Blackboards -- the sense of something bigger, some ultimate point.",neutral
308,"It's a bizarre curiosity memorable mainly for the way it fritters away its potentially interesting subject matter via a banal script, unimpressive acting and indifferent direction.",neutral
309,"While obviously an extremely personal work, it remains inextricably stuck in an emotionally unavailable rut.",neutral
310,"A dim-witted and lazy spin-off of the Animal Planet documentary series, Crocodile Hunter is entertainment opportunism at its most glaring.",negative
311,"The good is very, very good... The rest runs from mildly unimpressive to despairingly awful.",neutral
312,"Methodical, measured, and gently tedious in its comedy, Secret Ballot is a purposefully reductive movie -- which may be why it's so successful at lodging itself in the brain.",positive
313,One of the most exciting action films to come out of China in recent years.,positive
314,Adam Sandler's Eight Crazy Nights grows on you -- like a rash.,negative
315,"The film feels formulaic, its plot and pacing typical Hollywood war-movie stuff, while the performances elicit more of a sense of deja vu than awe.",negative
316,"... pitiful, slapdash disaster.",negative
317,"As it stands, there's some fine sex onscreen, and some tense arguing, but not a whole lot more.",neutral
318,It's neither as romantic nor as thrilling as it should be.,negative
319,Returning director Rob Minkoff... and screenwriter Bruce Joel Rubin... have done a fine job of updating White's dry wit to a new age.,positive
320,"The Venezuelans say things like ``si, pretty much'' and ``por favor, go home'' when talking to Americans.",neutral
321,"If you already like this sort of thing, this is that sort of thing all over again.",neutral
322,An awful movie that will only satisfy the most emotionally malleable of filmgoers.,negative
323,"This is an extraordinary film, not least because it is Japanese and yet feels universal.",positive
324,"Aptly named, this shimmering, beautifully costumed and filmed production doesn't work for me.",neutral
325,"If Borstal Boy isn't especially realistic, it is an engaging nostalgia piece.",neutral
326,Griffiths proves she's that rare luminary who continually raises the standard of her profession.,positive
327,"The asylum material is gripping, as are the scenes of Jia with his family.",positive
